商品长编码,商品名称,批次,仓库类型,仓库编码,仓库名称,库存组织,即时库存,可用库存,预占库存,锁定库存,待收数,生产日期,到期日期,销售预占,创建时间,更新时间,更新人
F.A.39.FA40011,健力多蓝氨糖（100片x2盒）电商内托,250401-01,逻辑仓,BY045,佰悦电商珠海合格仓,广东佰悦网络科技有限公司,600,600,0,0,0,,,0,,,
F.A.39.FA39718,健力多蓝氨糖（180片x2盒）电商礼盒,250401-01,逻辑仓,BY045,佰悦电商珠海合格仓,广东佰悦网络科技有限公司,600,600,0,0,0,,,0,,,
A.A.01.07.AA010714AF,汤臣倍健蜂胶软胶囊彩盒装升级版（60粒）-A,20250301G,逻辑仓,YY032,药业产成品（昆山）合格仓,汤臣倍健药业有限公司,3960,3960,0,0,0,,,0,,,
A.A.001.AA0010021A,汤臣倍健金装蛋白粉礼盒（300g*2）,20250310N,逻辑仓,YY032,药业产成品（昆山）合格仓,汤臣倍健药业有限公司,6348,6348,0,0,0,,,0,,,
A.A.030.AA0300002A,健安适水飞蓟葛根丹参片（120片）,20240101,逻辑仓,SDS031,食代说退货仓,珠海食代说食品有限公司,17,17,0,0,0,,,0,,,
A.A.01.01.AA010115C,汤臣倍健乳清蛋白固体饮料(香草味)(400g/高盖)A,20240101,逻辑仓,SDS031,食代说退货仓,珠海食代说食品有限公司,1,1,0,0,0,,,0,,,
A.A.06.01.AA060111C,健力多氨糖硫酸软骨素加钙片（48片，本品不单独销售）,20250303D,逻辑仓,3.2.654,股份RDC佰悦华南顺丰共享仓,汤臣倍健股份有限公司,3360,3360,0,0,0,,,0,,,
A.A.06.01.AA060113,汤臣倍健健力多钙维生素D维生素K片（100片）电商专供装,20240702D,逻辑仓,3.2.654,股份RDC佰悦华南顺丰共享仓,汤臣倍健股份有限公司,1824,1824,0,0,0,,,0,,,
A.A.01.07.AA010714AF,汤臣倍健蜂胶软胶囊彩盒装升级版（60粒）-A,20250301G,逻辑仓,YY121,药业产成品（北京）合格仓,汤臣倍健药业有限公司,1512,1512,0,0,0,,,0,,,
A.A.001.AA0010021A,汤臣倍健金装蛋白粉礼盒（300g*2）,20250308N,逻辑仓,YY121,药业产成品（北京）合格仓,汤臣倍健药业有限公司,2270,2270,0,0,0,,,0,,,
A.A.16.01.AA160105D,life.space益生菌粉（48袋）礼盒装,20250403P,逻辑仓,BJ001,佰嘉珠海合格仓,广东佰嘉药业有限公司,1980,1980,0,0,0,,,0,,,
A.A.16.01.AA160105D,life.space益生菌粉（48袋）礼盒装,20250403P,逻辑仓,BY125,LS电商大贸产成品（珠海）合格仓,广东佰悦网络科技有限公司,2709,2709,0,0,0,,,0,,,
A.A.16.01.AA160105D,life.space益生菌粉（48袋）礼盒装,20250403P,逻辑仓,SDS002,珠海食代说成品合格仓,珠海食代说食品有限公司,2709,2709,0,0,0,,,0,,,
F.A.40.FA40675,天然博士极致营养礼袋,250401-01,逻辑仓,BT01,佰腾珠海合格仓 ,广东佰腾药业有限公司,2000,2000,0,0,0,,,0,,,
A.A.01.05.AA010520E,汤臣倍健鱼油牛磺酸锌软胶囊-超级飞侠装（90粒）,20241201G,逻辑仓,012801.YPH.JL001,南京神行健领共享仓,广州麦优网络科技有限公司,-36,-36,0,0,0,,,0,,,
A.A.01.01.AA010115B,汤臣倍健乳清蛋白固体饮料(香草味)(400g/高盖),20241002A,逻辑仓,012801.YPH.JL001,南京神行健领共享仓,广州麦优网络科技有限公司,-81,-81,0,0,0,,,0,,,
A.A.01.02.AA010220BE,汤臣倍健钙维生素D维生素K软胶囊升级版（90粒×2）电商专供装,20241225E,逻辑仓,012801.YPH.JL001,南京神行健领共享仓,广州麦优网络科技有限公司,-140,-140,0,0,0,,,0,,,
A.A.01.02.AA010222D,汤臣倍健钙维生素D片（孕妇乳母）升级版（60片）,20241103D,逻辑仓,012801.YPH.JL001,南京神行健领共享仓,广州麦优网络科技有限公司,-24,-24,0,0,0,,,0,,,
A.A.01.04.AA010434J,汤臣倍健胶原蛋白肽果味饮料（荔枝味）（10瓶）22年升级版,20250203K,逻辑仓,012801.YPH.JL001,南京神行健领共享仓,广州麦优网络科技有限公司,-100,-100,0,0,0,,,0,,,
A.A.01.01.AA010171D,汤臣倍健多种维生素矿物质片（孕妇乳母）升级版（90片，盒装）,20241002D,逻辑仓,012801.YPH.JL001,南京神行健领共享仓,广州麦优网络科技有限公司,-36,-36,0,0,0,,,0,,,
A.A.01.02.AA010228D,汤臣倍健钙维生素D维生素K片电商专供升级版（200片）,20241106D,逻辑仓,012801.YPH.JL001,南京神行健领共享仓,广州麦优网络科技有限公司,-120,-120,0,0,0,,,0,,,
A.A.01.01.AA010193A,汤臣倍健维生素C片(橙子味)电商专供小包装(30片),20250205D,逻辑仓,012801.YPH.JL001,南京神行健领共享仓,广州麦优网络科技有限公司,-1296,-1296,0,0,0,,,0,,,
A.A.024.AA0240014,Pentavite Niacinamide Plus 30 tablets,20250301V,逻辑仓,BP001,香港合格仓,PENTAVITE INTERNATIONAL COMPANY LIMITED,14880,14880,0,0,0,,,0,,,
A.A.024.AA0240007B,Pentavite Vitamin C 30 tablets,20250303D,逻辑仓,BP001,香港合格仓,PENTAVITE INTERNATIONAL COMPANY LIMITED,4320,4320,0,0,0,,,0,,,
A.A.01.01.AA0101101F,Pentavite Women Multivitamin and Mineral Chewable (Pineapple Flavor)(30 tablets),20250301V,逻辑仓,BP001,香港合格仓,PENTAVITE INTERNATIONAL COMPANY LIMITED,56928,56928,0,0,0,,,0,,,
A.A.01.07.AA010714AF,汤臣倍健蜂胶软胶囊彩盒装升级版（60粒）-A,20250301G,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,10180,10180,0,0,0,,,0,,,
A.A.16.01.AA160105D,life.space益生菌粉（48袋）礼盒装,20250402P,逻辑仓,BJ105,佰嘉产成品（北京）合格仓,广东佰嘉药业有限公司,7428,7428,0,0,0,,,0,,,
A.A.010.AA0100003,每日每加小麦胚芽油维生素E软胶囊（60粒）,20250301G,逻辑仓,SDS002,珠海食代说成品合格仓,珠海食代说食品有限公司,2880,2880,0,0,0,,,0,,,
A.A.06.01.AA060101AR,汤臣倍健健力多氨糖软骨素钙片商超专供装-80片*3礼盒装,20250331D,逻辑仓,SDS002,珠海食代说成品合格仓,珠海食代说食品有限公司,6228,6228,0,0,0,,,0,,,
A.A.06.01.AA060101AR,汤臣倍健健力多氨糖软骨素钙片商超专供装-80片*3礼盒装,20250332D,逻辑仓,SDS002,珠海食代说成品合格仓,珠海食代说食品有限公司,6244,6244,0,0,0,,,0,,,
A.A.09.02.AA090219,健乐多磷脂酰丝氨酸蛋白固体饮料(芒果味)(20袋),20250301A,逻辑仓,SDS002,珠海食代说成品合格仓,珠海食代说食品有限公司,1155,1155,0,0,0,,,0,,,
A.A.01.01.AA010151AP,汤臣倍健蛋白粉礼盒优惠装（450g+150g）,20250404C,逻辑仓,012801.CP009,广州麦优产成品（珠海）合格仓,广州麦优网络科技有限公司,21315,21315,0,0,0,,,0,,,
A.A.01.01.AA010151AP,汤臣倍健蛋白粉礼盒优惠装（450g+150g）,20250403C,逻辑仓,012801.CP009,广州麦优产成品（珠海）合格仓,广州麦优网络科技有限公司,22757,22757,0,0,0,,,0,,,
A.A.001.AA0010039C,汤臣倍健星钻蛋白粉（500g）,20250403F,逻辑仓,012801.CP009,广州麦优产成品（珠海）合格仓,广州麦优网络科技有限公司,20370,20370,0,0,0,,,0,,,
A.A.001.AA0010021A,汤臣倍健金装蛋白粉礼盒（300g*2）,20250310N,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,12110,12110,0,0,0,,,0,,,
A.A.13.01.AA130144,天然博士DHA藻油核桃油凝胶糖果盒装（60粒）,20250301G,逻辑仓,BT45,佰腾电商珠海合格仓,广东佰腾药业有限公司,4844,4844,0,0,0,,,0,,,
A.A.16.01.AA160105D,life.space益生菌粉（48袋）礼盒装,20250401P,逻辑仓,BJ001,佰嘉珠海合格仓,广东佰嘉药业有限公司,7374,7374,0,0,0,,,0,,,
A.A.06.01.AA060101AR,汤臣倍健健力多氨糖软骨素钙片商超专供装-80片*3礼盒装,20250330D,逻辑仓,SDS002,珠海食代说成品合格仓,珠海食代说食品有限公司,6218,6218,0,0,0,,,0,,,
A.A.006.AA0060003A,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（280片）,20250331N,逻辑仓,BJ038,佰嘉产成品（昆山）合格仓,广东佰嘉药业有限公司,22,22,0,0,0,,,0,,,
A.A.01.01.AA010179AB,汤臣倍健维生素C片（甜橙味）升级版（100片）,20250319D,逻辑仓,YY032,药业产成品（昆山）合格仓,汤臣倍健药业有限公司,2868,2868,0,0,0,,,0,,,
F.A.40.FA40844,Lifespace BO不锈钢杯,250401-01,逻辑仓,BJ038,佰嘉产成品（昆山）合格仓,广东佰嘉药业有限公司,11630,11630,0,0,0,,,0,,,
A.A.037.AA0370005,维满B族维生素片（60片）,20240101,逻辑仓,BJ002,佰嘉珠海退货仓 ,广东佰嘉药业有限公司,232,232,0,0,0,,,0,,,
A.A.01.01.AA010174E,汤臣倍健多种维生素咀嚼片(4-10岁)-超级飞侠装（60片）,20250304D,逻辑仓,YY029,药业产成品（成都）合格仓,汤臣倍健药业有限公司,6228,6228,0,0,0,,,0,,,
A.A.01.01.AA010174E,汤臣倍健多种维生素咀嚼片(4-10岁)-超级飞侠装（60片）,20250303D,逻辑仓,YY032,药业产成品（昆山）合格仓,汤臣倍健药业有限公司,2735,2735,0,0,0,,,0,,,
A.A.01.01.AA010174E,汤臣倍健多种维生素咀嚼片(4-10岁)-超级飞侠装（60片）,20250302D,逻辑仓,YY121,药业产成品（北京）合格仓,汤臣倍健药业有限公司,4464,4464,0,0,0,,,0,,,
A.A.01.04.AA010426F,汤臣倍健铁叶酸片升级版（60片）,20250102D,逻辑仓,012801.YPH.BJ001,南京神行佰健共享仓,广州麦优网络科技有限公司,-36,-36,0,0,0,,,0,,,
A.A.01.03.AA010309,舒百宁纳豆红曲胶囊盒装（120粒）,20250101D,逻辑仓,012801.YPH.BJ001,南京神行佰健共享仓,广州麦优网络科技有限公司,-225,-225,0,0,0,,,0,,,
A.A.01.01.AA010164S,汤臣倍健多维女士多种维生素矿物质片优惠装升级版（60片×2）,20241103D,逻辑仓,012801.YPH.BJ001,南京神行佰健共享仓,广州麦优网络科技有限公司,-2000,-2000,0,0,0,,,0,,,
A.A.030.AA0300002A,健安适水飞蓟葛根丹参片（120片）,20250301D,逻辑仓,012801.YPH.BJ001,南京神行佰健共享仓,广州麦优网络科技有限公司,-48,-48,0,0,0,,,0,,,
A.A.030.AA0300002A,健安适水飞蓟葛根丹参片（120片）,20250206D,逻辑仓,012801.YPH.BJ001,南京神行佰健共享仓,广州麦优网络科技有限公司,-152,-152,0,0,0,,,0,,,
A.A.01.07.AA010729L,汤臣倍健左旋肉碱茶多酚荷叶片电商专供升级版（40片）,20250102D,逻辑仓,012801.YPH.BJ001,南京神行佰健共享仓,广州麦优网络科技有限公司,-408,-408,0,0,0,,,0,,,
A.A.01.07.AA010740A,汤臣倍健益生菌固体饮料（成人肠道）（5袋赠品装）,20241102P,逻辑仓,012801.YPH.BJ001,南京神行佰健共享仓,广州麦优网络科技有限公司,-1000,-1000,0,0,0,,,0,,,
A.A.01.01.AA010184A,V-mini维生素E软胶囊（成人）（100粒）电商装,20250301G,逻辑仓,012801.YPH.BJ001,南京神行佰健共享仓,广州麦优网络科技有限公司,-466,-466,0,0,0,,,0,,,
A.A.01.04.AA010440C,汤臣倍健Yep胶原蛋白肽果味饮料（树莓朗姆酒味）（7袋）22年升级版,20250312K,逻辑仓,012801.YPH.BJ001,南京神行佰健共享仓,广州麦优网络科技有限公司,-3491,-3491,0,0,0,,,0,,,
A.A.01.04.AA010440C,汤臣倍健Yep胶原蛋白肽果味饮料（树莓朗姆酒味）（7袋）22年升级版,20250311K,逻辑仓,012801.YPH.BJ001,南京神行佰健共享仓,广州麦优网络科技有限公司,-1332,-1332,0,0,0,,,0,,,
A.A.01.02.AA010220AR,汤臣倍健钙维生素D维生素K软胶囊彩盒装（120粒）专供品,20250380G,逻辑仓,YY029,药业产成品（成都）合格仓,汤臣倍健药业有限公司,13325,13325,0,0,0,,,0,,,
A.A.01.03.AA010311F,汤臣倍健大豆磷脂软胶囊升级版（120粒）,20250305G,逻辑仓,YY029,药业产成品（成都）合格仓,汤臣倍健药业有限公司,2436,2436,0,0,0,,,0,,,
A.A.01.03.AA010306AE,汤臣倍健鱼油软胶囊升级版（200粒）,20250329G,逻辑仓,YY029,药业产成品（成都）合格仓,汤臣倍健药业有限公司,1532,1532,0,0,0,,,0,,,
A.A.01.07.AA010721V,汤臣倍健辅酶Q10维生素E软胶囊彩盒装升级版（60粒）,20250303G,逻辑仓,YY029,药业产成品（成都）合格仓,汤臣倍健药业有限公司,1800,1800,0,0,0,,,0,,,
A.A.01.01.AA010174E,汤臣倍健多种维生素咀嚼片(4-10岁)-超级飞侠装（60片）,20250302D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,1636,1636,0,0,0,,,0,,,
A.A.01.01.AA010174E,汤臣倍健多种维生素咀嚼片(4-10岁)-超级飞侠装（60片）,20250303D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,8272,8272,0,0,0,,,0,,,
A.A.01.01.AA010174E,汤臣倍健多种维生素咀嚼片(4-10岁)-超级飞侠装（60片）,20250304D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,15133,15133,0,0,0,,,0,,,
A.A.001.AA0010039C,汤臣倍健星钻蛋白粉（500g）,20250402F,逻辑仓,012801.CP009,广州麦优产成品（珠海）合格仓,广州麦优网络科技有限公司,7993,7993,0,0,0,,,0,,,
A.A.006.AA0060003A,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（280片）,20250323N,逻辑仓,BJ035,佰嘉产成品（成都）合格仓,广东佰嘉药业有限公司,3072,3072,0,0,0,,,0,,,
A.A.01.03.AA010309,舒百宁纳豆红曲胶囊盒装（120粒）,20250101D,逻辑仓,012801.YPH.BJ002,广州荣庆佰健共享仓,广州麦优网络科技有限公司,-200,-200,0,0,0,,,0,,,
A.A.01.07.AA010756N,汤臣倍健褪黑素片（牛奶味）升级版（45片）专供装,20250301D,逻辑仓,012801.YPH.BJ002,广州荣庆佰健共享仓,广州麦优网络科技有限公司,-504,-504,0,0,0,,,0,,,
A.A.01.01.AA010167,汤臣倍健补充蛋白质运动营养粉乳清蛋白粉（香草味）（900g）,20240901A,逻辑仓,012801.YPH.BJ002,广州荣庆佰健共享仓,广州麦优网络科技有限公司,-72,-72,0,0,0,,,0,,,
A.A.01.01.AA010171D,汤臣倍健多种维生素矿物质片（孕妇乳母）升级版（90片，盒装）,20241002D,逻辑仓,012801.YPH.BJ002,广州荣庆佰健共享仓,广州麦优网络科技有限公司,-72,-72,0,0,0,,,0,,,
A.A.01.07.AA010729L,汤臣倍健左旋肉碱茶多酚荷叶片电商专供升级版（40片）,20250102D,逻辑仓,012801.YPH.BJ002,广州荣庆佰健共享仓,广州麦优网络科技有限公司,-408,-408,0,0,0,,,0,,,
A.A.030.AA0300002A,健安适水飞蓟葛根丹参片（120片）,20250301D,逻辑仓,012801.YPH.BJ002,广州荣庆佰健共享仓,广州麦优网络科技有限公司,-200,-200,0,0,0,,,0,,,
A.A.023.AA0230005A,"Life-Space Slimu益生菌固体饮料(260亿升级款, S) 10袋",20221221-666,逻辑仓,BY176,LS电商大贸珠海顺丰内购仓C,广东佰悦网络科技有限公司,-70,-70,0,0,0,,,0,,,
A.A.16.01.AA160105,life.space益生菌粉（20袋）,20221221-666,逻辑仓,BY176,LS电商大贸珠海顺丰内购仓C,广东佰悦网络科技有限公司,-15,-15,0,0,0,,,0,,,
A.A.16.01.AA160112,Life-Space益生菌固体饮料（320亿，A）（20袋）,20221221-666,逻辑仓,BY176,LS电商大贸珠海顺丰内购仓C,广东佰悦网络科技有限公司,-20,-20,0,0,0,,,0,,,
A.A.16.01.AA160105D,life.space益生菌粉（48袋）礼盒装,20221221-666,逻辑仓,BY176,LS电商大贸珠海顺丰内购仓C,广东佰悦网络科技有限公司,-41,-41,0,0,0,,,0,,,
A.A.001.AA0010041D,汤臣倍健白金蛋白粉礼盒（200g*2）,20250304V,逻辑仓,YY042,药业产成品（成都）不合格仓,汤臣倍健药业有限公司,1,1,0,0,0,,,0,,,
A.A.01.02.AA010220AR,汤臣倍健钙维生素D维生素K软胶囊彩盒装（120粒）专供品,20250379G,逻辑仓,YY042,药业产成品（成都）不合格仓,汤臣倍健药业有限公司,1,1,0,0,0,,,0,,,
A.A.01.01.AA010170B,汤臣倍健钙镁咀嚼片（4-17岁）-超级飞侠（90片）,20250302D,逻辑仓,YY029,药业产成品（成都）合格仓,汤臣倍健药业有限公司,1600,1600,0,0,0,,,0,,,
A.A.06.01.AA060101AR,汤臣倍健健力多氨糖软骨素钙片商超专供装-80片*3礼盒装,20250329D,逻辑仓,SDS002,珠海食代说成品合格仓,珠海食代说食品有限公司,2351,2351,0,0,0,,,0,,,
A.A.01.02.AA010220AR,汤臣倍健钙维生素D维生素K软胶囊彩盒装（120粒）专供品,20250356G,逻辑仓,YY121,药业产成品（北京）合格仓,汤臣倍健药业有限公司,16186,16186,0,0,0,,,0,,,
A.A.001.AA0010021C,汤臣倍健金装蛋白粉便携装（12袋）,20250307V,逻辑仓,YY121,药业产成品（北京）合格仓,汤臣倍健药业有限公司,4032,4032,0,0,0,,,0,,,
A.A.001.AA0010042,汤臣倍健尊耀蛋白粉（420g）,20240101,逻辑仓,SDS031,食代说退货仓,珠海食代说食品有限公司,4,4,0,0,0,,,0,,,
A.A.01.01.AA010115B,汤臣倍健乳清蛋白固体饮料(香草味)(400g/高盖),20250304A,逻辑仓,YY029,药业产成品（成都）合格仓,汤臣倍健药业有限公司,8130,8130,0,0,0,,,0,,,
A.A.01.04.AA010426F,汤臣倍健铁叶酸片升级版（60片）,20250301D,逻辑仓,YY129, 药业产成品（珠海京东特渠）合格仓,汤臣倍健药业有限公司,9,9,0,0,0,,,0,,,
A.A.01.04.AA010404,汤臣倍健婷好青春胶囊（60粒）,20250301D,逻辑仓,YY129, 药业产成品（珠海京东特渠）合格仓,汤臣倍健药业有限公司,13,13,0,0,0,,,0,,,
A.A.06.01.AA060111C,健力多氨糖硫酸软骨素加钙片（48片，本品不单独销售）,20250304D,逻辑仓,BY045,佰悦电商珠海合格仓,广东佰悦网络科技有限公司,17566,17566,0,0,0,,,0,,,
A.A.01.01.AA010179AB,汤臣倍健维生素C片（甜橙味）升级版（100片）,20250318D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,3416,3416,0,0,0,,,0,,,
A.A.01.01.AA010179AB,汤臣倍健维生素C片（甜橙味）升级版（100片）,20250319D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,13367,13367,0,0,0,,,0,,,
A.A.01.01.AA010151AP,汤臣倍健蛋白粉礼盒优惠装（450g+150g）,20250402C,逻辑仓,012801.CP009,广州麦优产成品（珠海）合格仓,广州麦优网络科技有限公司,410,410,0,0,0,,,0,,,
A.A.01.01.AA010151AP,汤臣倍健蛋白粉礼盒优惠装（450g+150g）,20250401C,逻辑仓,012801.CP009,广州麦优产成品（珠海）合格仓,广州麦优网络科技有限公司,15267,15267,0,0,0,,,0,,,
A.A.01.07.AA010740,汤臣倍健益生菌固体饮料（成人肠道）（20袋）,20250202P,逻辑仓,012801.YPH.ZH001,南京神行众华共享仓,广州麦优网络科技有限公司,-120,-120,0,0,0,,,0,,,
A.A.01.07.AA010756N,汤臣倍健褪黑素片（牛奶味）升级版（45片）专供装,20250301D,逻辑仓,012801.YPH.ZH001,南京神行众华共享仓,广州麦优网络科技有限公司,-36,-36,0,0,0,,,0,,,
A.A.01.02.AA010220AC,汤臣倍健钙维生素D维生素K软胶囊（100粒)彩盒装,20250108G,逻辑仓,012801.YPH.ZH001,南京神行众华共享仓,广州麦优网络科技有限公司,-325,-325,0,0,0,,,0,,,
A.A.01.02.AA010228D,汤臣倍健钙维生素D维生素K片电商专供升级版（200片）,20241106D,逻辑仓,012801.YPH.ZH001,南京神行众华共享仓,广州麦优网络科技有限公司,-108,-108,0,0,0,,,0,,,
A.A.01.04.AA010452,汤臣倍健胶原蛋白肽烟酰胺果味饮品（莓果味）（10瓶）,20240928,逻辑仓,012801.YPH.ZH001,南京神行众华共享仓,广州麦优网络科技有限公司,-60,-60,0,0,0,,,0,,,
A.A.01.02.AA010210Z,汤臣倍健胶原蛋白软骨素钙片90片*2电商专供装-A,20250201D,逻辑仓,012801.YPH.ZH001,南京神行众华共享仓,广州麦优网络科技有限公司,-320,-320,0,0,0,,,0,,,
A.A.01.01.AA010157J,汤臣倍健植物蛋白粉固体饮料（600g/高盖）,20250302F,逻辑仓,012801.YPH.ZH001,南京神行众华共享仓,广州麦优网络科技有限公司,-624,-624,0,0,0,,,0,,,
A.A.01.07.AA010756J,汤臣倍健褪黑素片（牛奶味）彩盒装升级版（90片）,20250201D,逻辑仓,012801.YPH.ZH001,南京神行众华共享仓,广州麦优网络科技有限公司,-36,-36,0,0,0,,,0,,,
A.A.01.01.AA010165J,汤臣倍健银色多维多种维生素矿物质片优惠装升级版（60片×2）,20250201D,逻辑仓,012801.YPH.ZH001,南京神行众华共享仓,广州麦优网络科技有限公司,-160,-160,0,0,0,,,0,,,
A.A.024.AA0240014,Pentavite Niacinamide Plus 30 tablets,20250301V,逻辑仓,3.1.311,产成品（珠海）合格仓,汤臣倍健股份有限公司,14868,14868,0,0,0,,,0,,,
F.A.40.FA40311,健力多电商日常通用礼袋,250401-01,逻辑仓,BY045,佰悦电商珠海合格仓,广东佰悦网络科技有限公司,9000,9000,0,0,0,,,0,,,
F.A.34.FA34638,汤臣倍健健力多钙维生素D片(30片*6瓶)-内托,250401-01,逻辑仓,BY045,佰悦电商珠海合格仓,广东佰悦网络科技有限公司,11666,11666,0,0,0,,,0,,,
F.A.39.FA40105,健力多批文B产品折页,250401-01,逻辑仓,BJ001,佰嘉珠海合格仓,广东佰嘉药业有限公司,39000,39000,0,0,0,,,0,,,
F.A.37.FA37355,健力多钙维生素D片30片6瓶电商礼盒,250401-01,逻辑仓,BY045,佰悦电商珠海合格仓,广东佰悦网络科技有限公司,11200,11200,0,0,0,,,0,,,
A.A.01.01.AA010179AD,汤臣倍健维生素C片（甜橙味）优惠装升级版（100片×2）,20250313D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,1411,1411,0,0,0,,,0,,,
A.A.01.01.AA010179AD,汤臣倍健维生素C片（甜橙味）优惠装升级版（100片×2）,20250313D,逻辑仓,SDS002,珠海食代说成品合格仓,珠海食代说食品有限公司,559,559,0,0,0,,,0,,,
A.A.006.AA0060003,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）,20250305D,逻辑仓,BJ105,佰嘉产成品（北京）合格仓,广东佰嘉药业有限公司,1403,1403,0,0,0,,,0,,,
A.A.01.02.AA010220AR,汤臣倍健钙维生素D维生素K软胶囊彩盒装（120粒）专供品,20250385G,逻辑仓,YY032,药业产成品（昆山）合格仓,汤臣倍健药业有限公司,14797,14797,0,0,0,,,0,,,
A.A.01.07.AA010721V,汤臣倍健辅酶Q10维生素E软胶囊彩盒装升级版（60粒）,20250303G,逻辑仓,YY032,药业产成品（昆山）合格仓,汤臣倍健药业有限公司,527,527,0,0,0,,,0,,,
A.A.01.01.AA010115B,汤臣倍健乳清蛋白固体饮料(香草味)(400g/高盖),20250304A,逻辑仓,YY121,药业产成品（北京）合格仓,汤臣倍健药业有限公司,3635,3635,0,0,0,,,0,,,
A.A.01.01.AA010115B,汤臣倍健乳清蛋白固体饮料(香草味)(400g/高盖),20250304A,逻辑仓,YY032,药业产成品（昆山）合格仓,汤臣倍健药业有限公司,8694,8694,0,0,0,,,0,,,
A.A.16.01.AA160115E,Life-Space益生菌固体饮料（150亿，A）（5袋，电商专供）,20250301P,逻辑仓,BY125,LS电商大贸产成品（珠海）合格仓,广东佰悦网络科技有限公司,60679,60679,0,0,0,,,0,,,
A.A.01.01.AA010115B,汤臣倍健乳清蛋白固体饮料(香草味)(400g/高盖),20250303A,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,15407,15407,0,0,0,,,0,,,
A.A.01.07.AA010754D,汤臣倍健螺旋藻硒片升级版（120片）,20250301D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,9876,9876,0,0,0,,,0,,,
A.A.14.01.AA140101U,健视佳越橘叶黄素酯β-胡萝卜素软胶囊（90天特惠套装）,20250203G,逻辑仓,BJ105,佰嘉产成品（北京）合格仓,广东佰嘉药业有限公司,5120,5120,0,0,0,,,0,,,
A.A.06.01.AA060111N,健力多氨糖硫酸软骨素加钙片电商装瓶装（48片）,20250302D,逻辑仓,BY045,佰悦电商珠海合格仓,广东佰悦网络科技有限公司,24201,24201,0,0,0,,,0,,,
A.A.06.01.AA060111C,健力多氨糖硫酸软骨素加钙片（48片，本品不单独销售）,20250303D,逻辑仓,BY045,佰悦电商珠海合格仓,广东佰悦网络科技有限公司,4940,4940,0,0,0,,,0,,,
A.A.01.01.AA010178,汤臣倍健B族维生素泡腾片(18片),20240101,逻辑仓,BJ002,佰嘉珠海退货仓 ,广东佰嘉药业有限公司,1233,1233,0,0,0,,,0,,,
A.A.01.04.AA010450,汤臣倍健胶原蛋白透明质酸钠粉（18袋装）,20250301V,逻辑仓,YY129, 药业产成品（珠海京东特渠）合格仓,汤臣倍健药业有限公司,21,21,0,0,0,,,0,,,
A.A.01.01.AA010174H,汤臣倍健多种维生素咀嚼片(4-10岁) 优惠装（60片*2）- 超级飞侠装,20250301D,逻辑仓,012801.CP009,广州麦优产成品（珠海）合格仓,广州麦优网络科技有限公司,5000,5000,0,0,0,,,0,,,
A.A.06.01.AA060108W,汤臣倍健健力多钙维生素D片电商专供品（60片）,20250315D,逻辑仓,3.2.654,股份RDC佰悦华南顺丰共享仓,汤臣倍健股份有限公司,9782,9782,0,0,0,,,0,,,
A.A.01.04.AA010426F,汤臣倍健铁叶酸片升级版（60片）,20250301D,逻辑仓,YY121,药业产成品（北京）合格仓,汤臣倍健药业有限公司,1111,1111,0,0,0,,,0,,,
F.A.40.FA40662,Yep高光时刻礼盒,250401-01,逻辑仓,SDS002,珠海食代说成品合格仓,珠海食代说食品有限公司,4980,4980,0,0,0,,,0,,,
A.A.13.01.AA130133,天然博士DHA藻油凝胶糖果Ⅰ型盒装（30粒）,20240702G,逻辑仓,3.2.654,股份RDC佰悦华南顺丰共享仓,汤臣倍健股份有限公司,40,40,0,0,0,,,0,,,
A.A.13.01.AA130133,天然博士DHA藻油凝胶糖果Ⅰ型盒装（30粒）,20240601G,逻辑仓,3.2.654,股份RDC佰悦华南顺丰共享仓,汤臣倍健股份有限公司,72,72,0,0,0,,,0,,,
A.A.13.01.AA130133,天然博士DHA藻油凝胶糖果Ⅰ型盒装（30粒）,20241001G,逻辑仓,3.2.654,股份RDC佰悦华南顺丰共享仓,汤臣倍健股份有限公司,5,5,0,0,0,,,0,,,
A.A.13.01.AA130133,天然博士DHA藻油凝胶糖果Ⅰ型盒装（30粒）,20250205G,逻辑仓,3.2.654,股份RDC佰悦华南顺丰共享仓,汤臣倍健股份有限公司,838,838,0,0,0,,,0,,,
A.A.13.01.AA130133,天然博士DHA藻油凝胶糖果Ⅰ型盒装（30粒）,20240902G,逻辑仓,3.2.654,股份RDC佰悦华南顺丰共享仓,汤臣倍健股份有限公司,8,8,0,0,0,,,0,,,
