用例ID,模块,子场景,业务描述,输入,输入JSON,tools工具,输出JSON,展示JSON,展示字段/指标,校验点,,,,,,,,,,
ALLOC-001,调拨计划,生成调拨计划,生成本周全仓调拨计划（默认含在途、默认止拨）,请生成本周的调拨计划,"{""user_text"": ""生成本周的调拨计划"", ""intent"": ""调拨计划"", ""time_window"": ""this_week"", ""include_in_transit"": true, ""stop_allocation_policy"": ""apply""}","工具1：生成调拨建议单；
工具2：查询调拨建议单","调拨建议单表: {""时间窗"": ""本周"", ""包含在途"": true, ""止拨策略"": ""apply"", ""输出列"": [""transfer_id"", ""line_id"", ""request_id"", ""sku"", ""归属组织"", ""物理仓"", ""批次"", ""调出逻辑仓"", ""调入逻辑仓"", ""止拨后可分配量"", ""计划数量"", ""取整后数量"", ""线路/车次（预留）"", ""体积/重量"", ""ETA"", ""备注""], ""合计约束"": ""按调出逻辑仓分组求和(计划数量) ≤ 对应止拨后可分配量""}",调拨计划展示输出.json,"建议调拨量；覆盖率；缺口行数；运输体积；缺口件数；物理仓；SKU数量；调拨数量；缺口/覆盖率；运输体积(m³)；运输重量(kg)；总体积；预估重量；线路可用
操作：导出补货计划、导出调拨建议单、调拨单","[MUST] 时间窗=本周（this_week）
[MUST] 包含在途=是（true）
[MUST] 止拨策略=应用（apply）
[MUST] 输出列包含={SKU, 调出逻辑仓, 调入逻辑仓, 数量, ETA, 批次}
[SHOULD] 合计≤止拨后可分配量
[MUST] 输入为标准JSON（可解析）且 intent=调拨计划",,,,,,,,,,
ALLOC-002,调拨计划,生成调拨计划,仅输出今日触发的补货行,请生成今天的调拨计划，仅输出今日触发的补货行,"{""user_text"": ""今天的调拨计划是什么？"", ""intent"": ""调拨计划"", ""inspection_date"": ""today"", ""trigger_condition"": ""inventory_water_level<rop_day""}",工具：查询调拨建议单,"调拨建议单表: {""巡检日期"": ""today"", ""触发条件"": ""库存水位<ROP(日)"", ""触发行"": ""仅今日触发的补货"", ""附加列"": ""触发原因（如库存不足/在途延迟）"", ""输出列"": [""transfer_id"", ""line_id"", ""request_id"", ""sku"", ""归属组织"", ""物理仓"", ""批次"", ""调出逻辑仓"", ""调入逻辑仓"", ""止拨后可分配量"", ""计划数量"", ""取整后数量"", ""线路/车次（预留）"", ""体积/重量"", ""ETA"", ""备注""], ""合计约束"": ""按调出逻辑仓分组求和(计划数量) ≤ 对应止拨后可分配量""}",调拨计划展示输出.json,"建议调拨量；覆盖率；缺口行数；运输体积；缺口件数；物理仓；SKU数量；调拨数量；缺口/覆盖率；运输体积(m³)；运输重量(kg)；总体积；预估重量；线路可用
操作：导出补货计划、导出调拨建议单、调拨单","[MUST] 时间窗=今天（today）
[MUST] 触发条件=库存水位<ROP
[SHOULD] 附触发原因列
[MUST] 输入为标准JSON（可解析）且 intent=调拨计划",,,,,,,,,,
ALLOC-003,调拨计划,生成调拨计划,止拨限制导致未分配进入未分配清单,请生成本周北京仓的调拨计划（严格止拨），并输出未分配清单,"{""intent"": ""调拨计划"", ""warehouse"": ""北京仓"", ""time_window"": ""this_week"", ""stop_allocation_policy"": ""strict""}","工具1：查询调拨建议单；
工具2：查询未分配清单表","调拨建议单表 + 未分配清单表: {""仓"": ""北京仓"", ""止拨策略"": ""strict"", ""未满足缺口"": ""进入未分配清单"", ""原因标注"": ""止拨不足"", ""输出列"": [""transfer_id"", ""line_id"", ""request_id"", ""sku"", ""归属组织"", ""物理仓"", ""批次"", ""调出逻辑仓"", ""调入逻辑仓"", ""止拨后可分配量"", ""计划数量"", ""取整后数量"", ""线路/车次（预留）"", ""体积/重量"", ""ETA"", ""备注""], ""合计约束"": ""按调出逻辑仓分组求和(计划数量) ≤ 对应止拨后可分配量"", ""未分配清单.输出列"": [""SKU"", ""批次"", ""调出逻辑仓"", ""原计划数量"", ""未分配数量"", ""未分配原因"", ""约束类型"", ""约束参数"", ""备注""], ""未分配清单.原因值域"": [""止拨不足"", ""小于最小拆分量"", ""超K限制"", ""托盘不拆"", ""装箱取整残量""]}",调拨计划展示输出.json,"建议调拨量；覆盖率；缺口行数；运输体积；缺口件数；物理仓；SKU数量；调拨数量；缺口/覆盖率；运输体积(m³)；运输重量(kg)；总体积；预估重量；线路可用
操作：导出补货计划、导出调拨建议单、调拨单","[MUST] 止拨策略=严格（strict）
[MUST] 未满足缺口→未分配清单
[SHOULD] 原因=止拨不足
[MUST] 输入为标准JSON（可解析）且 intent=调拨计划
[MUST] 未分配清单输出列包含={SKU, 批次, 调出逻辑仓, 原计划数量, 未分配数量, 未分配原因}
[SHOULD] 未分配原因∈{止拨不足, 小于最小拆分量, 超K限制, 托盘不拆, 装箱取整残量}",,,,,,,,,,
ALLOC-005,调拨计划,生成调拨计划,批次最多 2 去向，每去向≥3箱,请生成本周的调拨计划，单批次最多拆分至2个去向，且每个去向至少3箱,"{""intent"": ""调拨计划"", ""time_window"": ""this_week"", ""k_limit"": 2, ""min_split_cases"": 3}","工具1：生成调拨建议单；
工具2：查询调拨建议单；
工具3：查询未分配清单表","调拨建议单表 + 未分配清单表: {""K限制"": 2, ""最小拆分量"": ""3箱"", ""批次去向数校验"": ""≤2"", ""每去向数量校验"": ""≥3箱"", ""超限残量"": ""进入未分配清单"", ""输出列"": [""transfer_id"", ""line_id"", ""request_id"", ""sku"", ""归属组织"", ""物理仓"", ""批次"", ""调出逻辑仓"", ""调入逻辑仓"", ""止拨后可分配量"", ""计划数量"", ""取整后数量"", ""线路/车次（预留）"", ""体积/重量"", ""ETA"", ""备注""], ""合计约束"": ""按调出逻辑仓分组求和(计划数量) ≤ 对应止拨后可分配量"", ""未分配清单.输出列"": [""SKU"", ""批次"", ""调出逻辑仓"", ""原计划数量"", ""未分配数量"", ""未分配原因"", ""约束类型"", ""约束参数"", ""备注""], ""未分配清单.原因值域"": [""止拨不足"", ""小于最小拆分量"", ""超K限制"", ""托盘不拆"", ""装箱取整残量""]}",调拨计划展示输出.json,"建议调拨量；覆盖率；缺口行数；运输体积；缺口件数；物理仓；SKU数量；调拨数量；缺口/覆盖率；运输体积(m³)；运输重量(kg)；总体积；预估重量；线路可用
操作：导出补货计划、导出调拨建议单、调拨单","[MUST] K限制=2
[MUST] 最小拆分量=3箱
[MUST] 任一批次去向数≤2
[MUST] 每去向≥3箱
[SHOULD] 超限残量进入未分配清单
[MUST] 输入为标准JSON（可解析）且 intent=调拨计划
[MUST] 未分配清单输出列包含={SKU, 批次, 调出逻辑仓, 原计划数量, 未分配数量, 未分配原因}
[SHOULD] 未分配原因∈{止拨不足, 小于最小拆分量, 超K限制, 托盘不拆, 装箱取整残量}",,,,,,,,,,
ALLOC-008,调拨计划,生成调拨计划,只对 A001/A002 生成计划,请生成调拨计划：只做 A001 和 A002 的本周调拨,"{""user_text"": ""只做 A001 和 A002 的本周调拨"", ""intent"": ""调拨计划"", ""time_window"": ""this_week"", ""sku_list"": [""A001"", ""A002""]}","工具1：生成调拨建议单；
工具2：查询调拨建议单","调拨建议单表: {""SKU集合"": [""A001"", ""A002""], ""时间窗"": ""本周"", ""输出约束"": ""仅这两类SKU"", ""输出列"": [""transfer_id"", ""line_id"", ""request_id"", ""sku"", ""归属组织"", ""物理仓"", ""批次"", ""调出逻辑仓"", ""调入逻辑仓"", ""止拨后可分配量"", ""计划数量"", ""取整后数量"", ""线路/车次（预留）"", ""体积/重量"", ""ETA"", ""备注""], ""合计约束"": ""按调出逻辑仓分组求和(计划数量) ≤ 对应止拨后可分配量""}",调拨计划展示输出.json,"建议调拨量；覆盖率；缺口行数；运输体积；缺口件数；物理仓；SKU数量；调拨数量；缺口/覆盖率；运输体积(m³)；运输重量(kg)；总体积；预估重量；线路可用
操作：导出补货计划、导出调拨建议单、调拨单","[MUST] SKU集合={A001, A002}
[MUST] 仅输出这两类SKU
[MUST] 输入为标准JSON（可解析）且 intent=调拨计划",,,,,,,,,,
RPT-001,生成报告,生成KPI报告,输出 7 月 KPI 总览（全仓）,请生成 7月 的 KPI 报告,"{""user_text"": ""生成 7月 的 KPI 报告"", ""intent"": ""生成报告""}","工具名称：duckdb_query
描述：查询KPI报告","KPI报告表: {""时间窗"": ""2025-07"", ""指标"": {""本地订单履约率"": ""85.2%"", ""拆单率"": ""12.5%"", ""缺货率"": ""3.1%"", ""旧批占比"": ""8.7%"", ""运费/单"": ""¥15.8""}, ""环比上月"": {""履约率"": ""+2.3%"", ""拆单率"": ""-0.8%""}}",KPI报告展示输出.json,"本地履约率；拆单率；旧批次拆单占比；订单量；指标；上周；环比；同期；趋势；仓；总运费；订单运费；调拨运费；加权单位物流成本；拆单额外成本；省份；单位物流成本（元/m³）
操作：导出报告","[MUST] 时间窗=2025-07（月）
[MUST] 指标包含={本地订单履约率, 拆单率, 缺货率, 旧批占比, 运费/单}
[SHOULD] 上月对比
[MUST] 输入为标准JSON（可解析）且 intent=生成报告",,,,,,,,,,
RPT-002,生成报告,生成KPI报告,本周按仓拆分 KPI,请生成 本周 KPI（按仓）,"{""user_text"": ""生成 本周 KPI（按仓）"", ""intent"": ""生成报告""}","工具名称：duckdb_query
描述：查询KPI报告","KPI报告表（按仓）: {""时间窗"": ""本周"", ""粒度"": ""仓"", ""数据"": [{""仓"": ""成都仓"", ""履约率"": ""82%""}, {""仓"": ""北京仓"", ""履约率"": ""88%""}], ""排序"": ""按履约率升序""}",KPI报告展示输出.json,"本地履约率；拆单率；旧批次拆单占比；订单量；指标；上周；环比；同期；趋势；仓；总运费；订单运费；调拨运费；加权单位物流成本；拆单额外成本；省份；单位物流成本（元/m³）
操作：导出报告","[MUST] 时间窗=本周（this_week）
[MUST] 粒度=仓
[SHOULD] 排序=本地履约率升序
[MUST] 输入为标准JSON（可解析）且 intent=生成报告",,,,,,,,,,
RPT-004,生成报告,生成KPI报告,跨月周统计口径一致（财务按自然日拆账）,请生成KPI报告：本周跨月 仍生成 KPI,"{""user_text"": ""本周跨月 仍生成 KPI"", ""intent"": ""生成报告""}","工具名称：duckdb_query
描述：查询KPI报告","KPI报告表: {""周次"": ""本周"", ""跨月标记"": ""是"", ""周口径"": ""自然周"", ""财务拆账"": ""按自然日拆分到相邻月份"", ""提示"": ""月度汇总需按日拆分""}",KPI报告展示输出.json,"本地履约率；拆单率；旧批次拆单占比；订单量；指标；上周；环比；同期；趋势；仓；总运费；订单运费；调拨运费；加权单位物流成本；拆单额外成本；省份；单位物流成本（元/m³）
操作：导出报告","[MUST] 跨月标记=是
[MUST] 周口径=自然周
[SHOULD] 月度拆账提示
[MUST] 输入为标准JSON（可解析）且 intent=生成报告",,,,,,,,,,
RPT-007,生成报告,生成KPI报告,每张摘要卡的字段齐全,请生成上周KPI报告,"{""user_text"": ""生成上周KPI报告"", ""intent"": ""生成报告""}","工具名称：duckdb_query
描述：查询KPI报告","KPI报告-摘要卡字段: {""每张卡字段"": [""value"", ""wow_delta"", ""trend""], ""字段状态"": ""非空且可解析""}",KPI报告展示输出.json,"本地履约率；拆单率；旧批次拆单占比；订单量；指标；上周；环比；同期；趋势；仓；总运费；订单运费；调拨运费；加权单位物流成本；拆单额外成本；省份；单位物流成本（元/m³）
操作：导出报告","[MUST] 每张卡包含={value, wow_delta, trend}
[MUST] 字段非空且可解析
[MUST] 输入为标准JSON（可解析）且 intent=生成报告",,,,,,,,,,
RPT-013,生成报告,生成KPI报告,运输成本分析（本月）4 张卡片全部出现,请生成本月KPI报告,"{""user_text"": ""生成本月KPI报告"", ""intent"": ""生成报告"", ""time_window"": ""this_month""}","工具名称：duckdb_query
描述：查询KPI报告","KPI报告-运输成本卡: {""成本卡数量"": 4, ""卡片标题"": [""总运费"", ""订单运费"", ""调拨运费"", ""加权单位物流成本""], ""验证"": ""全部成本卡存在""}",KPI报告展示输出.json,"本地履约率；拆单率；旧批次拆单占比；订单量；指标；上周；环比；同期；趋势；仓；总运费；订单运费；调拨运费；加权单位物流成本；拆单额外成本；省份；单位物流成本（元/m³）
操作：导出报告","[MUST] 成本卡标题包含={总运费, 订单运费, 调拨运费, 加权单位物流成本}
[MUST] 全部成本卡存在
[MUST] 输入为标准JSON（可解析）且 intent=生成报告
[MUST] 时间窗=本月（this_month）",,,,,,,,,,
RPL-001,补货计划,生成补货计划,生成本周补货计划（默认口径）,帮我生成本周的补货计划，考虑在途库存，数量按箱向上取整，按系统默认止拨策略执行,"{""user_text"": ""时间窗=本周；计入在途=是；取整=按箱（向上）；止拨策略=apply"", ""intent"": ""补货计划""}","工具名称1：生成补货计划；
工具名称2：查询补货计划","补货计划表: {""表名"": ""补货计划表"", ""时间窗"": ""本周"", ""粒度"": ""日"", ""输出列"": [""request_id"", ""record_id"", ""归属组织"", ""sku"", ""物理仓"", ""巡检日期"", ""即时库存"", ""在途库存"", ""可用库存"", ""库存水位"", ""ROP（日）"", ""目标库存（日）"", ""理论缺口"", ""止拨后可分配量"", ""建议补货量"", ""实际补货量"", ""触发状态/原因"", ""预计到达"", ""备注""], ""单位"": {""即时库存"": ""PCS"", ""在途库存"": ""PCS"", ""可用库存"": ""PCS"", ""库存水位"": ""PCS"", ""ROP（日）"": ""PCS"", ""目标库存（日）"": ""PCS"", ""理论缺口"": ""PCS"", ""止拨后可分配量"": ""PCS"", ""建议补货量"": ""PCS"", ""实际补货量"": ""PCS""}, ""口径"": {""库存水位"": ""可用库存 + 在途库存"", ""理论缺口"": ""max(0, 目标库存（日） − 库存水位)"", ""建议补货量"": ""min(理论缺口, 止拨后可分配量)"", ""实际补货量"": ""按装箱数取整/裁剪后"", ""预计到达"": ""巡检日期 + 运输提前期""}}",补货计划展示输出.json,"建议补货量（取整后）；理论缺口；缺口覆盖率；触发行数；物理仓；触发SKU数；理论缺口(件)；建议补货量(件)；覆盖率；在途库存(件)；库存水位(件)
操作：导出补货计划","MUST 触发条件：库存水位≤ROP（日）；MUST 库存水位=可用库存+在途库存；MUST 理论缺口=max(0, 目标库存（日）−库存水位)；MUST 建议补货量=min(理论缺口, 止拨后可分配量)；MUST 实际补货量=按装箱数向上取整；SHOULD 缺口覆盖率=建议补货量/理论缺口
[MUST] 输入为标准JSON（可解析）且 intent=补货计划
[MUST] 输出为补货计划明细（日粒度）
[MUST] 输出列包含={request_id, record_id, 归属组织, sku, 物理仓, 巡检日期, 即时库存, 在途库存, 可用库存, 库存水位, ROP（日）, 目标库存（日）, 理论缺口, 止拨后可分配量, 建议补货量, 实际补货量, 触发状态/原因, 预计到达, 备注}",,,,,,,,,,
RPL-003,补货计划,生成补货计划,对比周基准与日更版,请分别按“周基准版”和“日更版”各生成一次补货计划，用于对比差异。,"{""user_text"": ""版本=weekly_baseline vs daily_refresh"", ""intent"":""补货计划"",""time_window"":""this_week"",""include_in_transit"":true}","工具名称1：生成补货计划；
工具名称2：查询补货计划","补货计划表: {""表名"": ""补货计划表"", ""时间窗"": ""本周"", ""粒度"": ""日"", ""输出列"": [""request_id"", ""record_id"", ""归属组织"", ""sku"", ""物理仓"", ""巡检日期"", ""即时库存"", ""在途库存"", ""可用库存"", ""库存水位"", ""ROP（日）"", ""目标库存（日）"", ""理论缺口"", ""止拨后可分配量"", ""建议补货量"", ""实际补货量"", ""触发状态/原因"", ""预计到达"", ""备注""], ""单位"": {""即时库存"": ""PCS"", ""在途库存"": ""PCS"", ""可用库存"": ""PCS"", ""库存水位"": ""PCS"", ""ROP（日）"": ""PCS"", ""目标库存（日）"": ""PCS"", ""理论缺口"": ""PCS"", ""止拨后可分配量"": ""PCS"", ""建议补货量"": ""PCS"", ""实际补货量"": ""PCS""}, ""口径"": {""库存水位"": ""可用库存 + 在途库存"", ""理论缺口"": ""max(0, 目标库存（日） − 库存水位)"", ""建议补货量"": ""min(理论缺口, 止拨后可分配量)"", ""实际补货量"": ""按装箱数取整/裁剪后"", ""预计到达"": ""巡检日期 + 运输提前期""}}",补货计划展示输出.json,"建议补货量（取整后）；理论缺口；缺口覆盖率；触发行数；物理仓；触发SKU数；理论缺口(件)；建议补货量(件)；覆盖率；在途库存(件)；库存水位(件)
操作：导出补货计划","MUST 两版都按同一触发口径；SHOULD 日更版在同周内目标库存使用“日折减”口径
[MUST] 输入为标准JSON（可解析）且 intent=补货计划
[MUST] 输出为补货计划明细（日粒度）
[MUST] 输出列包含={request_id, record_id, 归属组织, sku, 物理仓, 巡检日期, 即时库存, 在途库存, 可用库存, 库存水位, ROP（日）, 目标库存（日）, 理论缺口, 止拨后可分配量, 建议补货量, 实际补货量, 触发状态/原因, 预计到达, 备注}",,,,,,,,,,
RPL-008,补货计划,生成补货计划,默认取整规则,请生成补货计划，数量按箱向上取整。,"{""user_text"": ""取整=按箱（向上）"", ""intent"": ""补货计划""}",不需要此场景，作为默认规则的校验点,"补货计划表: {""表名"": ""补货计划表"", ""时间窗"": ""本周"", ""粒度"": ""日"", ""输出列"": [""request_id"", ""record_id"", ""归属组织"", ""sku"", ""物理仓"", ""巡检日期"", ""即时库存"", ""在途库存"", ""可用库存"", ""库存水位"", ""ROP（日）"", ""目标库存（日）"", ""理论缺口"", ""止拨后可分配量"", ""建议补货量"", ""实际补货量"", ""触发状态/原因"", ""预计到达"", ""备注""], ""单位"": {""即时库存"": ""PCS"", ""在途库存"": ""PCS"", ""可用库存"": ""PCS"", ""库存水位"": ""PCS"", ""ROP（日）"": ""PCS"", ""目标库存（日）"": ""PCS"", ""理论缺口"": ""PCS"", ""止拨后可分配量"": ""PCS"", ""建议补货量"": ""PCS"", ""实际补货量"": ""PCS""}, ""口径"": {""库存水位"": ""可用库存 + 在途库存"", ""理论缺口"": ""max(0, 目标库存（日） − 库存水位)"", ""建议补货量"": ""min(理论缺口, 止拨后可分配量)"", ""实际补货量"": ""按装箱数取整/裁剪后"", ""预计到达"": ""巡检日期 + 运输提前期""}}",补货计划展示输出.json,"建议补货量（取整后）；理论缺口；缺口覆盖率；触发行数；物理仓；触发SKU数；理论缺口(件)；建议补货量(件)；覆盖率；在途库存(件)；库存水位(件)
操作：导出补货计划","MUST 实际补货量为装箱数整数倍；MUST 实际≥建议且超出<一箱
[MUST] 输入为标准JSON（可解析）且 intent=补货计划
[MUST] 输出为补货计划明细（日粒度）
[MUST] 输出列包含={request_id, record_id, 归属组织, sku, 物理仓, 巡检日期, 即时库存, 在途库存, 可用库存, 库存水位, ROP（日）, 目标库存（日）, 理论缺口, 止拨后可分配量, 建议补货量, 实际补货量, 触发状态/原因, 预计到达, 备注}",,,,,,,,,,
RPL-011,补货计划,生成补货计划,汇总表正确性,请生成补货计划，仅包含北京、昆山、成都、珠海四个仓的数据，并提供对应汇总。,"{""user_text"": ""仓=北京/昆山/成都/珠海"", ""intent"": ""补货计划""}",工具名称：查询补货计划表,"补货计划表: {""表名"": ""补货计划表"", ""时间窗"": ""本周"", ""粒度"": ""日"", ""输出列"": [""request_id"", ""record_id"", ""归属组织"", ""sku"", ""物理仓"", ""巡检日期"", ""即时库存"", ""在途库存"", ""可用库存"", ""库存水位"", ""ROP（日）"", ""目标库存（日）"", ""理论缺口"", ""止拨后可分配量"", ""建议补货量"", ""实际补货量"", ""触发状态/原因"", ""预计到达"", ""备注""], ""单位"": {""即时库存"": ""PCS"", ""在途库存"": ""PCS"", ""可用库存"": ""PCS"", ""库存水位"": ""PCS"", ""ROP（日）"": ""PCS"", ""目标库存（日）"": ""PCS"", ""理论缺口"": ""PCS"", ""止拨后可分配量"": ""PCS"", ""建议补货量"": ""PCS"", ""实际补货量"": ""PCS""}, ""口径"": {""库存水位"": ""可用库存 + 在途库存"", ""理论缺口"": ""max(0, 目标库存（日） − 库存水位)"", ""建议补货量"": ""min(理论缺口, 止拨后可分配量)"", ""实际补货量"": ""按装箱数取整/裁剪后"", ""预计到达"": ""巡检日期 + 运输提前期""}}",补货计划展示输出.json,"建议补货量（取整后）；理论缺口；缺口覆盖率；触发行数；物理仓；触发SKU数；理论缺口(件)；建议补货量(件)；覆盖率；在途库存(件)；库存水位(件)
操作：导出补货计划","MUST 列：触发SKU数/理论缺口/建议补货量/覆盖率/在途库存/库存水位；MUST 行合计=明细求和
[MUST] 输入为标准JSON（可解析）且 intent=补货计划
[MUST] 输出为补货计划明细（日粒度）
[MUST] 输出列包含={request_id, record_id, 归属组织, sku, 物理仓, 巡检日期, 即时库存, 在途库存, 可用库存, 库存水位, ROP（日）, 目标库存（日）, 理论缺口, 止拨后可分配量, 建议补货量, 实际补货量, 触发状态/原因, 预计到达, 备注}",,,,,,,,,,
RPL-012,补货计划,生成补货计划,仅看北京仓,请生成补货计划，仅查看北京仓的数据。,"{""user_text"": ""过滤：物理仓=北京仓"", ""intent"":""补货计划"",""time_window"":""this_week"",""include_in_transit"":true}",工具名称：查询补货计划表,"补货计划表: {""表名"": ""补货计划表"", ""时间窗"": ""本周"", ""粒度"": ""日"", ""输出列"": [""request_id"", ""record_id"", ""归属组织"", ""sku"", ""物理仓"", ""巡检日期"", ""即时库存"", ""在途库存"", ""可用库存"", ""库存水位"", ""ROP（日）"", ""目标库存（日）"", ""理论缺口"", ""止拨后可分配量"", ""建议补货量"", ""实际补货量"", ""触发状态/原因"", ""预计到达"", ""备注""], ""单位"": {""即时库存"": ""PCS"", ""在途库存"": ""PCS"", ""可用库存"": ""PCS"", ""库存水位"": ""PCS"", ""ROP（日）"": ""PCS"", ""目标库存（日）"": ""PCS"", ""理论缺口"": ""PCS"", ""止拨后可分配量"": ""PCS"", ""建议补货量"": ""PCS"", ""实际补货量"": ""PCS""}, ""口径"": {""库存水位"": ""可用库存 + 在途库存"", ""理论缺口"": ""max(0, 目标库存（日） − 库存水位)"", ""建议补货量"": ""min(理论缺口, 止拨后可分配量)"", ""实际补货量"": ""按装箱数取整/裁剪后"", ""预计到达"": ""巡检日期 + 运输提前期""}}",补货计划展示输出.json,"建议补货量（取整后）；理论缺口；缺口覆盖率；触发行数；物理仓；触发SKU数；理论缺口(件)；建议补货量(件)；覆盖率；在途库存(件)；库存水位(件)
操作：导出补货计划","MUST 仅输出北京仓；MUST 合计与仓级汇总北京仓一致
[MUST] 输入为标准JSON（可解析）且 intent=补货计划
[MUST] 输出为补货计划明细（日粒度）
[MUST] 输出列包含={request_id, record_id, 归属组织, sku, 物理仓, 巡检日期, 即时库存, 在途库存, 可用库存, 库存水位, ROP（日）, 目标库存（日）, 理论缺口, 止拨后可分配量, 建议补货量, 实际补货量, 触发状态/原因, 预计到达, 备注}",,,,,,,,,,
RPL-013,补货计划,生成补货计划,指定 SKU 列表,请生成补货计划，仅包含 SKU A001 和 A002。,"{""user_text"": ""SKU∈{A001,A002}"", ""intent"":""补货计划"",""time_window"":""this_week"",""include_in_transit"":true}",工具名称：查询补货计划表,"补货计划表: {""表名"": ""补货计划表"", ""时间窗"": ""本周"", ""粒度"": ""日"", ""输出列"": [""request_id"", ""record_id"", ""归属组织"", ""sku"", ""物理仓"", ""巡检日期"", ""即时库存"", ""在途库存"", ""可用库存"", ""库存水位"", ""ROP（日）"", ""目标库存（日）"", ""理论缺口"", ""止拨后可分配量"", ""建议补货量"", ""实际补货量"", ""触发状态/原因"", ""预计到达"", ""备注""], ""单位"": {""即时库存"": ""PCS"", ""在途库存"": ""PCS"", ""可用库存"": ""PCS"", ""库存水位"": ""PCS"", ""ROP（日）"": ""PCS"", ""目标库存（日）"": ""PCS"", ""理论缺口"": ""PCS"", ""止拨后可分配量"": ""PCS"", ""建议补货量"": ""PCS"", ""实际补货量"": ""PCS""}, ""口径"": {""库存水位"": ""可用库存 + 在途库存"", ""理论缺口"": ""max(0, 目标库存（日） − 库存水位)"", ""建议补货量"": ""min(理论缺口, 止拨后可分配量)"", ""实际补货量"": ""按装箱数取整/裁剪后"", ""预计到达"": ""巡检日期 + 运输提前期""}}",补货计划展示输出.json,"建议补货量（取整后）；理论缺口；缺口覆盖率；触发行数；物理仓；触发SKU数；理论缺口(件)；建议补货量(件)；覆盖率；在途库存(件)；库存水位(件)
操作：导出补货计划","MUST 仅两类SKU行；MUST 汇总口径不含其他SKU
[MUST] 输入为标准JSON（可解析）且 intent=补货计划
[MUST] 输出为补货计划明细（日粒度）
[MUST] 输出列包含={request_id, record_id, 归属组织, sku, 物理仓, 巡检日期, 即时库存, 在途库存, 可用库存, 库存水位, ROP（日）, 目标库存（日）, 理论缺口, 止拨后可分配量, 建议补货量, 实际补货量, 触发状态/原因, 预计到达, 备注}",,,,,,,,,,
RPL-020,补货计划,生成补货计划,本周跨月,请生成跨月周的补货计划（仍按自然周计算）。,"{""user_text"": ""时间窗跨月周"", ""intent"": ""补货计划""}",工具名称：查询补货计划表,"补货计划表: {""表名"": ""补货计划表"", ""时间窗"": ""跨月周"", ""粒度"": ""日"", ""输出列"": [""request_id"", ""record_id"", ""归属组织"", ""sku"", ""物理仓"", ""巡检日期"", ""即时库存"", ""在途库存"", ""可用库存"", ""库存水位"", ""ROP（日）"", ""目标库存（日）"", ""理论缺口"", ""止拨后可分配量"", ""建议补货量"", ""实际补货量"", ""触发状态/原因"", ""预计到达"", ""备注""], ""单位"": {""即时库存"": ""PCS"", ""在途库存"": ""PCS"", ""可用库存"": ""PCS"", ""库存水位"": ""PCS"", ""ROP（日）"": ""PCS"", ""目标库存（日）"": ""PCS"", ""理论缺口"": ""PCS"", ""止拨后可分配量"": ""PCS"", ""建议补货量"": ""PCS"", ""实际补货量"": ""PCS""}, ""口径"": {""库存水位"": ""可用库存 + 在途库存"", ""理论缺口"": ""max(0, 目标库存（日） − 库存水位)"", ""建议补货量"": ""min(理论缺口, 止拨后可分配量)"", ""实际补货量"": ""按装箱数取整/裁剪后"", ""预计到达"": ""巡检日期 + 运输提前期""}}",补货计划展示输出.json,"建议补货量（取整后）；理论缺口；缺口覆盖率；触发行数；物理仓；触发SKU数；理论缺口(件)；建议补货量(件)；覆盖率；在途库存(件)；库存水位(件)
操作：导出补货计划","MUST 仍按自然周生成；SHOULD 在“方法/口径”区提示“月度按自然日拆分”
[MUST] 输入为标准JSON（可解析）且 intent=补货计划
[MUST] 输出为补货计划明细（日粒度）
[MUST] 输出列包含={request_id, record_id, 归属组织, sku, 物理仓, 巡检日期, 即时库存, 在途库存, 可用库存, 库存水位, ROP（日）, 目标库存（日）, 理论缺口, 止拨后可分配量, 建议补货量, 实际补货量, 触发状态/原因, 预计到达, 备注}",,,,,,,,,,
INT-043,意图识别,补货计划意图识别,标准输入,生成本周补货计划,,,"解析结果JSON: {""intent"": ""补货计划"", ""time_window"": ""this_week"", ""include_in_transit"": true, ""rounding_method"": ""box_up"", ""version"": ""daily_refresh""}",,,"[MUST] 意图=补货计划
[MUST] 时间窗=本周（this_week）
[SHOULD] 计入在途=是（true）
[SHOULD] 取整=按箱向上
[SHOULD] 版本=日更（daily_refresh）",,,,,,,,,,
INT-044,意图识别,补货计划意图识别,今日巡检,今天的补货计划是什么？,,,"解析结果JSON: {""intent"": ""补货计划"", ""inspection_date"": ""today"", ""version"": ""daily_refresh""}",,,"[MUST] 意图=补货计划
[MUST] 巡检日期=today
[SHOULD] 版本=日更（daily_refresh）",,,,,,,,,,
INT-049,意图识别,补货计划意图识别,今日巡检+过滤触发行,只看今天触发的补货,,,"解析结果JSON: {""intent"": ""补货计划"", ""inspection_date"": ""today"", ""trigger_condition"": ""inventory_water_level<rop_day""}",,,"[MUST] 意图=补货计划
[MUST] 巡检日期=today
[MUST] 触发条件=库存水位<ROP（日）",,,,,,,,,,
INT-047,意图识别,补货计划意图识别,单仓+单SKU,只看北京仓，A001的的补货,,,"解析结果JSON: {""intent"": ""补货计划"", ""warehouse"": ""北京仓""}",,,"[MUST] 意图=补货计划
[MUST] 仓=北京仓",,,,,,,,,,
