用例ID,模块,子场景,业务描述,输入,输入JSON,tools工具,输出JSON,展示JSON,展示字段/指标,校验点,,,,,,,,,,
INT-507,意图识别,调拨计划意图识别,导出CSV，本周调拨计划,把本周的调拨计划导成 CSV 给我,,,"解析结果JSON: {""intent"": ""调拨计划"", ""time_window"": ""this_week"", ""export_format"": ""csv""}",,,"[MUST] 意图=调拨计划
[MUST] 时间窗=本周（this_week）
[MUST] 导出格式=csv",,,,,,,,,,
INT-601,意图识别,KPI报告意图识别,生成上月KPI报告（按仓）,请生成上月的KPI报告,,,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metrics"": ""default""}",,,"[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
INT-602,意图识别,KPI报告意图识别,单仓：上月KPI报告（北京仓）,看看 北京仓 上月的 KPI 报告,,,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""warehouse"": ""北京仓"", ""metrics"": ""default""}",,,"[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 仓=北京仓
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
INT-603,意图识别,KPI报告意图识别,仓别名映射：帝都仓→北京仓（上月KPI报告）,看看 帝都仓 上月的 KPI 报告,,,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""warehouse"": ""北京仓"", ""warehouse_alias"": ""帝都仓"", ""metrics"": ""default""}",,,"[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 仓=北京仓（别名""帝都仓""映射）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
INT-604,意图识别,KPI报告意图识别,导出CSV：上月KPI报告,把上月的 KPI 报告导成 CSV 给我,,,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""export_format"": ""csv"", ""metrics"": ""default""}",,,"[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 导出格式=csv
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
INT-605,意图识别,KPI报告意图识别,查询本地订单满足率（上月，按仓）,上月本地履约率怎么样？按仓看,,,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""local_fulfillment_rate""}",,,"[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=本地订单满足率（local_fulfillment_rate）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
INT-606,意图识别,KPI报告意图识别,查询拆单率（上月，按仓）,上月拆单率是多少？按仓看,,,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""split_rate""}",,,"[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=拆单率（split_rate）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
INT-607,意图识别,KPI报告意图识别,查询旧批次拆单率（上月，按仓）,上月旧批次拆单率怎么样？按仓看,,,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""old_batch_split_ratio""}",,,"[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=旧批次拆单率（old_batch_split_ratio）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
INT-608,意图识别,KPI报告意图识别,查询物流运费成本（上月，订单运费，按仓）,上月订单运费是多少？按仓看,,,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""order_shipping_cost""}",,,"[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=订单运费（order_shipping_cost）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
INT-609,意图识别,KPI报告意图识别,查询物流总运费（上月，汇总）,上月物流总运费是多少,,,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""总体"", ""metric"": ""total_cost""}",,,"[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=总运费（total_cost）
[MUST] 汇总维度=总体
[SHOULD] 粒度=月（month，默认）",,,,,,,,,,
INT-610,意图识别,KPI报告意图识别,查询调拨总运费（上月，汇总）,上月调拨总运费是多少,,,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""总体"", ""metric"": ""transfer_cost""}",,,"[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=调拨运费（transfer_cost）
[MUST] 汇总维度=总体
[SHOULD] 粒度=月（month，默认）",,,,,,,,,,
INT-611,意图识别,KPI报告意图识别,查询上月拆单增量成本（按仓）,上月拆单增量成本是多少？按仓看,,,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""split_extra_cost""}",,,"[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=拆单增量成本（split_extra_cost）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
KPI-601,KPI报告,生成KPI报告,生成上月KPI报告（按仓）,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metrics"": ""default""}","工具名称：duckdb_query
详细描述：聚合KPI指标（本地履约率、拆单率、旧批次拆单占比、物流成本等），按 月×仓 汇总生成报告",报告结果：摘要+明细,KPI报告展示输出.json,本地履约率；拆单率；旧批次拆单占比；总运费；订单运费；调拨运费；加权单位物流成本；拆单额外成本,"[MUST] 输入为标准JSON（可解析）且 intent=KPI报告
[MUST] 时间窗=上月（last_month）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
KPI-602,KPI报告,生成KPI报告,单仓：上月KPI报告（北京仓）,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""warehouse"": ""北京仓"", ""metrics"": ""default""}","工具名称：duckdb_query
详细描述：聚合KPI指标（本地履约率、拆单率、旧批次拆单占比、物流成本等），按 月×仓 汇总生成报告",报告结果：摘要+明细,KPI报告展示输出.json,本地履约率；拆单率；旧批次拆单占比；总运费；订单运费；调拨运费；加权单位物流成本；拆单额外成本,"[MUST] 输入为标准JSON（可解析）且 intent=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 仓=北京仓
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
KPI-603,KPI报告,生成KPI报告,仓别名映射：帝都仓→北京仓（上月KPI报告）,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""warehouse"": ""北京仓"", ""warehouse_alias"": ""帝都仓"", ""metrics"": ""default""}","工具名称：duckdb_query
详细描述：聚合KPI指标（本地履约率、拆单率、旧批次拆单占比、物流成本等），按 月×仓 汇总生成报告",报告结果：摘要+明细,KPI报告展示输出.json,本地履约率；拆单率；旧批次拆单占比；总运费；订单运费；调拨运费；加权单位物流成本；拆单额外成本,"[MUST] 输入为标准JSON（可解析）且 intent=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 仓=北京仓（别名""帝都仓""映射）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
KPI-604,KPI报告,生成KPI报告,导出CSV：上月KPI报告,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""export_format"": ""csv"", ""metrics"": ""default""}","工具名称：duckdb_query
详细描述：聚合KPI指标（本地履约率、拆单率、旧批次拆单占比、物流成本等），按 月×仓 汇总生成报告",报告结果：摘要+明细,KPI报告展示输出.json,本地履约率；拆单率；旧批次拆单占比；总运费；订单运费；调拨运费；加权单位物流成本；拆单额外成本,"[MUST] 输入为标准JSON（可解析）且 intent=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 导出格式=csv
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
KPI-605,KPI报告,生成KPI报告,查询本地订单满足率（上月，按仓）,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""local_fulfillment_rate""}","工具名称：duckdb_query
详细描述：聚合KPI指标（本地履约率），按 月×仓 汇总",报告结果：摘要+明细,KPI报告展示输出.json,本地履约率；订单量；仓；趋势/环比,"[MUST] 输入为标准JSON（可解析）且 intent=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=本地订单满足率（local_fulfillment_rate）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
KPI-606,KPI报告,生成KPI报告,查询拆单率（上月，按仓）,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""split_rate""}","工具名称：duckdb_query
详细描述：聚合KPI指标（拆单率），按 月×仓 汇总",报告结果：摘要+明细,KPI报告展示输出.json,拆单率；订单量；仓；趋势/环比,"[MUST] 输入为标准JSON（可解析）且 intent=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=拆单率（split_rate）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
KPI-607,KPI报告,生成KPI报告,查询旧批次拆单率（上月，按仓）,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""old_batch_split_ratio""}","工具名称：duckdb_query
详细描述：聚合KPI指标（旧批次拆单占比），按 月×仓 汇总",报告结果：摘要+明细,KPI报告展示输出.json,旧批次拆单占比；订单量；仓；趋势/环比,"[MUST] 输入为标准JSON（可解析）且 intent=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=旧批次拆单率（old_batch_split_ratio）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
KPI-608,KPI报告,生成KPI报告,查询物流运费成本（上月，订单运费，按仓）,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""order_shipping_cost""}","工具名称：duckdb_query
详细描述：聚合KPI指标（订单运费），按 月×仓 汇总",报告结果：摘要+明细,KPI报告展示输出.json,订单运费；仓；趋势/环比；单位物流成本（如适用）,"[MUST] 输入为标准JSON（可解析）且 intent=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=订单运费（order_shipping_cost）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
KPI-609,KPI报告,生成KPI报告,查询物流总运费（上月，汇总）,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""总体"", ""metric"": ""total_cost""}","工具名称：duckdb_query
详细描述：聚合KPI指标（总运费），按 月 汇总（总体）",报告结果：摘要+明细,KPI报告展示输出.json,总运费；趋势/环比；单位物流成本（如适用）,"[MUST] 输入为标准JSON（可解析）且 intent=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=总运费（total_cost）
[MUST] 汇总维度=总体
[SHOULD] 粒度=月（month，默认）",,,,,,,,,,
KPI-610,KPI报告,生成KPI报告,查询调拨总运费（上月，汇总）,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""总体"", ""metric"": ""transfer_cost""}","工具名称：duckdb_query
详细描述：聚合KPI指标（调拨运费），按 月 汇总（总体）",报告结果：摘要+明细,KPI报告展示输出.json,调拨运费；趋势/环比；单位物流成本（如适用）,"[MUST] 输入为标准JSON（可解析）且 intent=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=调拨运费（transfer_cost）
[MUST] 汇总维度=总体
[SHOULD] 粒度=月（month，默认）",,,,,,,,,,
KPI-611,KPI报告,生成KPI报告,查询上月拆单增量成本（按仓）,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""split_extra_cost""}","工具名称：duckdb_query
详细描述：估算拆单相较不拆单基准的额外成本（可按订单运费差额口径），按 月×仓 汇总",报告结果：摘要+明细,KPI报告展示输出.json,拆单额外成本；拆单率；订单运费；仓；趋势/环比,"[MUST] 输入为标准JSON（可解析）且 intent=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=拆单增量成本（split_extra_cost）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
ALLOC-501,调拨计划,生成调拨计划,生成本周调拨计划,标准入参（承接意图识别解析结果),"请求JSON: {""intent"": ""调拨计划"", ""time_window"": ""this_week""}","工具名称：duckdb_query
详细描述：依据补货缺口与可用批次池/止拨规则，生成调拨建议单（SKU×批次×调出/入）",调拨建议单表：行明细,调拨计划展示输出.json,建议调拨量；覆盖率；缺口行数；运输体积；缺口件数；物理仓；SKU数量；调拨数量；缺口/覆盖率；运输体积(m³)；运输重量(kg)；总体积；预估重量；线路可用,"[MUST] 输入为标准JSON（可解析）且 intent=调拨计划
[MUST] 时间窗=本周（this_week）",,,,,,,,,,
ALLOC-502,调拨计划,生成调拨计划,查询今日调拨计划,标准入参（承接意图识别解析结果),"请求JSON: {""intent"": ""调拨计划"", ""inspection_date"": ""today""}","工具名称：duckdb_query
详细描述：依据补货缺口与可用批次池/止拨规则，生成调拨建议单（SKU×批次×调出/入）",调拨建议单表：行明细,调拨计划展示输出.json,建议调拨量；覆盖率；缺口行数；运输体积；缺口件数；物理仓；SKU数量；调拨数量；缺口/覆盖率；运输体积(m³)；运输重量(kg)；总体积；预估重量；线路可用,"[MUST] 输入为标准JSON（可解析）且 intent=调拨计划
[MUST] 巡检日期=today",,,,,,,,,,
ALLOC-503,调拨计划,生成调拨计划,查询本周北京仓调拨计划,标准入参（承接意图识别解析结果),"请求JSON: {""intent"": ""调拨计划"", ""time_window"": ""this_week"", ""warehouse"": ""北京仓""}","工具名称：duckdb_query
详细描述：依据补货缺口与可用批次池/止拨规则，生成调拨建议单（SKU×批次×调出/入）",调拨建议单表：行明细,调拨计划展示输出.json,建议调拨量；覆盖率；缺口行数；运输体积；缺口件数；物理仓；SKU数量；调拨数量；缺口/覆盖率；运输体积(m³)；运输重量(kg)；总体积；预估重量；线路可用,"[MUST] 输入为标准JSON（可解析）且 intent=调拨计划
[MUST] 时间窗=本周（this_week）
[MUST] 仓=北京仓",,,,,,,,,,
ALLOC-504,调拨计划,生成调拨计划,查询本周A001/A002调拨计划,标准入参（承接意图识别解析结果),"请求JSON: {""intent"": ""调拨计划"", ""time_window"": ""this_week"", ""sku_list"": [""A001"", ""A002""]}","工具名称：duckdb_query
详细描述：依据补货缺口与可用批次池/止拨规则，生成调拨建议单（SKU×批次×调出/入）",调拨建议单表：行明细,调拨计划展示输出.json,建议调拨量；覆盖率；缺口行数；运输体积；缺口件数；物理仓；SKU数量；调拨数量；缺口/覆盖率；运输体积(m³)；运输重量(kg)；总体积；预估重量；线路可用,"[MUST] 输入为标准JSON（可解析）且 intent=调拨计划
[MUST] 时间窗=本周（this_week）
[MUST] SKU集合={A001, A002}",,,,,,,,,,
ALLOC-505,调拨计划,生成调拨计划,查询本周北京/成都调拨计划,标准入参（承接意图识别解析结果),"请求JSON: {""intent"": ""调拨计划"", ""time_window"": ""this_week"", ""warehouse_list"": [""北京仓"", ""成都仓""]}","工具名称：duckdb_query
详细描述：依据补货缺口与可用批次池/止拨规则，生成调拨建议单（SKU×批次×调出/入）",调拨建议单表：行明细,调拨计划展示输出.json,建议调拨量；覆盖率；缺口行数；运输体积；缺口件数；物理仓；SKU数量；调拨数量；缺口/覆盖率；运输体积(m³)；运输重量(kg)；总体积；预估重量；线路可用,"[MUST] 输入为标准JSON（可解析）且 intent=调拨计划
[MUST] 时间窗=本周（this_week）
[MUST] 仓集合={北京仓, 成都仓}",,,,,,,,,,
ALLOC-506,调拨计划,生成调拨计划,修改本周调拨数量（北京仓×A001=300）,标准入参（承接意图识别解析结果),"请求JSON: {""intent"": ""调拨计划"", ""operation_type"": ""update"", ""time_window"": ""this_week"", ""warehouse"": ""北京仓"", ""sku"": ""A001"", ""value"": 300}","工具名称：duckdb_query
详细描述：更新调拨建议单并返回行明细",调拨建议单表：行明细,调拨计划展示输出.json,建议调拨量；覆盖率；缺口行数；运输体积；缺口件数；物理仓；SKU数量；调拨数量；缺口/覆盖率；运输体积(m³)；运输重量(kg)；总体积；预估重量；线路可用,"[MUST] 输入为标准JSON（可解析）且 intent=调拨计划
[MUST] 操作类型=修改（update）
[MUST] 时间窗=本周（this_week）
[MUST] 仓=北京仓
[MUST] SKU=A001
[MUST] 新值=300",,,,,,,,,,
ALLOC-507,调拨计划,生成调拨计划,导出CSV，本周调拨计划,标准入参（承接意图识别解析结果),"请求JSON: {""intent"": ""调拨计划"", ""time_window"": ""this_week"", ""export_format"": ""csv""}","工具名称：duckdb_query
详细描述：依据补货缺口与可用批次池/止拨规则，生成调拨建议单（SKU×批次×调出/入）",调拨建议单表：行明细,调拨计划展示输出.json,建议调拨量；覆盖率；缺口行数；运输体积；缺口件数；物理仓；SKU数量；调拨数量；缺口/覆盖率；运输体积(m³)；运输重量(kg)；总体积；预估重量；线路可用,"[MUST] 输入为标准JSON（可解析）且 intent=调拨计划
[MUST] 时间窗=本周（this_week）
[MUST] 导出格式=csv",,,,,,,,,,
